"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","81.2183","81.3343","81.5647","81.1675","-","-0.26%"
"Apr 24, 2019","81.4341","81.5894","81.7762","81.4183","-","-0.26%"
"Apr 23, 2019","81.6437","82.0182","82.1049","81.5334","-","-0.38%"
"Apr 22, 2019","81.9569","82.1328","82.3828","81.9228","-","0.31%"
"Apr 18, 2019","81.7063","81.5111","81.7155","81.2898","-","0.06%"
"Apr 17, 2019","81.6612","82.1311","82.3541","81.6490","-","-0.37%"
"Apr 16, 2019","81.9654","82.1952","82.2647","81.8064","-","-0.44%"
"Apr 15, 2019","82.3236","82.5428","82.6124","82.1565","-","-0.47%"
"Apr 12, 2019","82.7086","82.3418","82.8138","82.3367","-","0.57%"
"Apr 11, 2019","82.2361","82.9839","82.9860","82.1314","-","-0.99%"
"Apr 10, 2019","83.0616","82.6808","83.0812","82.6181","-","0.53%"
"Apr 09, 2019","82.6223","82.6925","82.9843","82.4941","-","-0.18%"
"Apr 08, 2019","82.7739","82.7004","82.8992","82.4958","-","0.49%"
"Apr 05, 2019","82.3702","82.1855","82.4036","81.9513","-","0.17%"
"Apr 04, 2019","82.2323","82.2258","82.3820","81.9392","-","0.06%"
"Apr 03, 2019","82.1833","82.0761","82.2565","81.9055","-","0.39%"
"Apr 02, 2019","81.8613","81.7966","81.8734","81.4926","-","0.23%"
"Apr 01, 2019","81.6727","81.3608","81.7852","81.3273","-","0.72%"
"Mar 29, 2019","81.0872","81.2563","81.8644","81.0756","-","-0.00%"
"Mar 28, 2019","81.0873","81.3202","81.4714","80.9006","-","-0.58%"
"Mar 27, 2019","81.5642","82.0567","82.0670","81.2088","-","-0.52%"
"Mar 26, 2019","81.9936","82.0183","82.2908","81.8839","-","0.09%"
"Mar 25, 2019","81.9158","81.5721","82.0894","81.5093","-","0.20%"
"Mar 22, 2019","81.7507","82.3235","82.4683","81.4409","-","-0.72%"
"Mar 21, 2019","82.3473","82.6475","82.7791","82.1190","-","-0.04%"
"Mar 20, 2019","82.3797","81.9329","82.3963","81.8733","-","0.35%"
"Mar 19, 2019","82.0930","81.9297","82.4230","81.7842","-","0.26%"
"Mar 18, 2019","81.8765","81.4298","81.9562","81.4217","-","0.36%"
"Mar 15, 2019","81.5838","81.3303","81.6451","80.9546","-","0.29%"
"Mar 14, 2019","81.3474","81.6095","81.6577","81.1225","-","-0.22%"
"Mar 13, 2019","81.5304","80.9316","81.5460","80.8600","-","0.83%"
"Mar 12, 2019","80.8615","80.4921","81.0037","80.4375","-","0.75%"
"Mar 11, 2019","80.2569","80.5277","80.7232","80.1727","-","-0.26%"
"Mar 08, 2019","80.4667","80.4234","80.4866","79.9050","-","-0.07%"
"Mar 07, 2019","80.5200","80.8125","80.9502","80.4145","-","-0.27%"
"Mar 06, 2019","80.7408","81.0529","81.1511","80.6236","-","-0.56%"
"Mar 05, 2019","81.1937","80.8851","81.2222","80.7702","-","0.46%"
"Mar 04, 2019","80.8184","81.1271","81.3169","80.6742","-","-0.18%"
"Mar 01, 2019","80.9660","81.4165","81.6653","80.6196","-","-0.52%"
"Feb 28, 2019","81.3904","81.5838","81.7011","81.2856","-","-0.27%"
"Feb 27, 2019","81.6096","81.2914","81.7771","81.1302","-","0.50%"
"Feb 26, 2019","81.2074","81.1700","81.4182","81.1043","-","-0.12%"
"Feb 25, 2019","81.3010","82.2414","82.4778","81.1855","-","-1.00%"
"Feb 22, 2019","82.1246","81.7159","82.2338","81.6920","-","0.41%"
